S1;;;;;;WTC1f24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;3;4;5;6;7;8;9;;;;;;;;10;;;;;;;;11;;;;;12;;;;;;;;;;;;;;;;13;;;;14;;;;15;;;;;;;;;16;;;;;;;;17;;;;;;;18;;;;;;;;19;;;;;;;;20;;;;;;;;21;;;;;;;;;;;;22;;;;;;;;;;;;;;23;;;;;;;;;;;;24;;;;;;;;;25;;;;;;;;26;;;;;;;27;;;;;;;;28;;;;;;;;29;;;;;;;;30;;;31;32;33;34;35;36;37;38;;;;;;;;39;;;;;;;;40;;;;;41;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;43;;;;;;;;44;;;45;;46;47;;;;;48;;;;;;;;49;;;;;;;;50;;;;51;;;;;;52;;;;;;;;;53;;;;54;55;56;57;;;;;58;;;;;;;;59;;;;;;;;60;;;;61;62;63;64;65;66;67;68;69;70;;;;;;;;71;;;;;;;;72;;;;;73;;;;;;74;75;;;;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pitch p;0;0;0;0;0;0;0;0;0;54;50;47;55;54;59;58;52;51;60;59;54;53;62;61;60;61;57;54;56;54;54;55;57;59;60;52;51;52;54;55;52;58;59;50;49;50;47;54;54;52;50;49;47;46;47;49;50;52;54;55;47;46;50;46;47;49;50;52;42;41;42;54;57;59;50;52;56;57;49;50;54;56;47;49;53;54;45;47;50;52;43;45;49;50;42;43;47;49;40;42;46;47;49;50;54;52;49;50;54;55;52;54;58;59;55;54;52;51;49;50;52;50;49;47;45;44;42;44;47;45;44;42;45;50;49;47;44;49;37;54;55;57;59;60;62;52;51;55;47;49;50;52;54;47;46;47;46;47;50;52;43;45;49;50;42;43;47;49;40;42;46;47;50;52;55;57;60;62;54;55;59;60;52;54;57;59;51;52;0;0;0;0;0;0;0;0;0;0;52;50;47;55;54;59;58;52;51;60;59;54;53;62;61;60;61;57;54;56;54;52;50;49;47;49;50;54;52;49;50;54;55;52;54;58;59;57;55;54;52;54;55;59;57;54;55;59;60;57;59;63;64;52;49;45;54;52;57;56;50;49;50;0;0;0;0;0;50;49;45;54;50;55;54;48;47;57;56;50;49;58;57;56;57;54;50;52;50;0;47;45;0;54;52;0;49;47;42;44;45;47;49;42;41;45;44;42;0;0;0;0;0;0;0;47;44;40;49;47;52;51;45;44;53;52;47;46;55;54;53;54;50;47;49;47;0;0;0;0;0;0;0;0;0;0;0;0;47;43;40;48;47;52;51;45;44;53;52;47;46;55;54;53;54;50;47;49;50;0;51;52;0;53;54;46;47;49;51;52;42;41;42;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;interval ?p;0;0;0;0;0;0;0;0;0;0;-3;-3;6;-2;4;-2;-4;-2;7;-2;-4;-2;7;-2;-2;2;-3;-3;2;-2;1;2;2;2;2;-6;-2;2;2;2;-3;4;2;-6;-2;2;-3;5;1;-2;-2;-2;-2;-2;2;2;2;2;2;2;-6;-2;4;-4;2;2;2;2;-7;-2;2;8;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;2;2;3;-2;-3;2;3;2;-3;2;3;2;-3;-2;-2;-2;-2;2;2;-2;-2;-2;-2;-2;-2;2;3;-2;-2;-2;3;4;-2;-2;-3;4;-8;11;2;2;2;2;2;-7;-2;4;-6;2;2;2;2;-5;-2;2;-2;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;3;2;3;2;3;2;3;2;-6;2;3;2;-6;2;3;2;-6;2;0;0;0;0;0;0;0;0;0;0;1;-2;-3;6;-2;4;-2;-4;-2;7;-2;-4;-2;7;-2;-2;2;-3;-3;2;-2;-2;-2;-2;-2;2;2;3;-2;-3;2;3;2;-3;2;3;2;-2;-2;-2;-2;2;2;3;-2;-3;2;3;2;-3;2;3;2;-8;-3;-3;6;-2;4;-2;-4;-2;2;0;0;0;0;0;1;-2;-3;6;-3;4;-2;-4;-2;7;-2;-4;-2;7;-2;-2;2;-3;-3;2;-2;0;-3;-2;0;6;-2;0;-3;-2;-4;2;2;2;2;-5;-2;4;-2;-2;0;0;0;0;0;0;0;4;-3;-3;6;-2;4;-2;-4;-2;7;-2;-4;-2;7;-2;-2;2;-3;-3;2;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;-3;-3;6;-2;4;-2;-4;-2;7;-2;-4;-2;7;-2;-2;2;-3;-3;2;2;0;1;2;0;1;2;-6;2;2;2;2;-7;-2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;onset o;0;16;32;48;64;80;96;112;128;130;132;134;136;138;140;142;144;146;148;150;152;154;156;158;160;162;164;166;168;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;194;196;204;208;212;216;220;226;228;233;234;235;236;237;238;239;240;249;250;251;252;253;254;255;256;260;262;264;266;268;270;272;274;276;278;280;282;284;286;288;290;292;294;296;298;300;302;304;306;308;310;312;314;316;318;320;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;362;364;366;368;369;370;371;372;373;374;375;376;385;386;387;388;389;390;391;392;402;404;406;408;410;412;414;416;418;420;422;424;426;428;430;432;434;436;438;440;442;444;446;448;450;452;454;456;458;460;462;464;468;472;480;496;512;528;544;560;576;592;594;596;598;600;602;604;606;608;610;612;614;616;618;620;622;624;626;628;630;632;640;641;642;643;644;645;646;647;648;649;650;651;652;653;654;655;656;657;658;659;660;661;662;663;664;665;666;667;668;669;670;671;672;674;676;678;680;682;684;686;688;690;692;708;712;720;736;744;746;748;750;752;754;756;758;760;762;764;766;768;770;772;774;776;778;780;782;784;792;796;798;800;804;806;808;812;814;816;817;818;819;820;821;822;823;824;836;840;842;844;848;864;880;896;904;906;908;910;912;914;916;918;920;922;924;926;928;930;932;934;936;938;940;942;944;952;954;956;960;976;992;1008;1024;1040;1056;1072;1088;1104;1106;1108;1110;1112;1114;1116;1118;1120;1122;1124;1126;1128;1130;1132;1134;1136;1138;1140;1142;1144;1152;1156;1158;1160;1164;1166;1168;1185;1186;1187;1188;1189;1190;1191;1192;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;duration d;16;16;16;16;16;16;16;16;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;8;4;4;4;4;6;2;5;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;9;1;1;1;1;1;1;1;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;8;16;16;16;16;16;16;16;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;16;4;8;16;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;4;2;2;4;2;2;4;2;2;1;1;1;1;1;1;1;1;12;4;2;2;4;16;16;16;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;2;2;4;16;16;16;16;16;16;16;16;16;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;4;2;2;4;2;2;17;1;1;1;1;1;1;1;8;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;takt;1;2;3;4;;;;;;;;5;;;;;;;;6;;;;;7;;;;;;;;;8;;;;9;;;;10;;;;11;;;;;;;;;12;;13;;;;;;;;;;;;14;;;;15;;;;;16;;;;17;;;;;;18;;;;;;;;;;19;;;;;;;;;;20;;;;;;;;;;21;;;22;23;24;25;26;27;28;;;;;29;30;;;;;;;;31;;;;;;;;32;;;;;33;;;;;;;;;34;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;36;;;;;;;;;37;;;;38;;;;;;;39;;;40;41;42;43;44;;;;;;;;45;;;;;;;;46;;;;;47;;;;;48;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;51;;;;;;52;;;;;;;;;;;53;;;;;;54;;;;;;;;55;;;;;;;;56;;;;;;;;57;;;58;59;60;;;;;61;;;;;;;;62;;;;;;;;63;;;;;;;;64;65;;;;;;;;66;;;;;;;;67;;;;;;;;;;;;68;;;;;;;;69;;;;;;;;70;;;;71;;;;;;;;;;;72;;;;;;73;;;;;;74;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;pitch p;0;0;0;0;59;57;54;62;59;64;63;57;56;65;64;59;58;67;66;65;66;62;59;61;59;66;68;70;71;73;66;65;69;67;66;70;71;70;71;0;73;71;69;68;66;65;66;68;69;71;73;74;66;65;66;64;62;61;59;57;54;56;59;57;54;60;59;57;59;52;59;57;56;54;66;62;64;61;58;54;62;61;59;57;56;57;59;57;56;54;56;57;56;54;53;54;56;54;71;73;71;69;67;69;71;69;67;66;67;69;67;66;64;66;67;66;64;62;0;0;0;0;0;0;0;0;0;59;55;52;0;0;0;59;55;52;60;59;64;63;57;56;65;64;59;58;67;66;65;66;62;59;61;59;0;61;63;65;66;68;61;60;61;59;57;56;54;56;57;61;59;56;57;61;62;59;61;65;66;64;62;61;59;61;62;66;64;61;62;66;67;64;66;70;71;69;67;66;64;62;64;61;62;61;59;62;60;59;0;59;58;59;62;61;54;0;0;0;0;0;0;0;57;54;50;59;57;62;61;55;54;63;62;57;56;65;64;63;64;61;57;59;57;55;54;52;49;0;79;78;76;74;72;71;72;74;76;74;72;71;73;74;71;67;70;69;67;65;64;65;62;64;0;72;71;69;67;66;64;62;61;59;57;55;54;57;59;61;62;64;57;56;57;59;58;59;61;52;59;0;0;0;49;51;53;54;56;57;53;54;56;0;61;57;54;62;61;66;65;59;58;67;66;61;60;69;68;67;68;64;61;63;56;58;60;61;63;54;52;54;0;0;0;0;0;0;66;62;59;67;66;71;70;64;63;72;71;66;65;74;73;72;73;69;66;68;61;63;65;66;68;59;57;59;58;54;59;62;64;67;69;61;62;66;67;59;61;64;66;58;59;54;55;57;59;60;52;51;52;55;57;61;62;54;55;59;61;52;54;58;59;54;50;47;55;54;59;58;52;51;52;54;52;0;59;61;62;64;64;62;61;59;57;56;54;57;55;54;52;54;0;57;55;0;59;58;54;56;58;59;61;62;59;59;58;59;61;62;64;61;0;0;47;49;50;52;49;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
